Afghanistan,38572,1420,31129
Albania,10860,324,6346
Algeria,47488,1591,33562
Andorra,1301,53,938
Angola,3217,130,1277
Antigua and Barbuda,95,3,91
Argentina,524198,10907,390098
Armenia,45326,906,41233
Australia,26564,797,23039
Austria,31247,748,26043
Azerbaijan,37874,556,35269
Bahamas,2721,63,1183
Bahrain,58207,207,52284
Bangladesh,332970,4634,233550
Barbados,180,7,157
Belarus,73591,732,72203
Belgium,90568,9917,18659
Belize,1365,18,326
Benin,2242,40,1793
Bhutan,238,0,155
Bolivia,124205,7193,79483
Bosnia and Herzegovina,22544,680,15273
Botswana,2252,10,546
Brazil,4238446,129522,3657701
Brunei,145,3,139
Bulgaria,17598,706,12619
Burkina Faso,1486,56,1123
Burma,2150,14,625
Burundi,469,1,374
Cabo Verde,4557,43,3993
Cambodia,274,0,274
Cameroon,20009,415,18837
Canada,136956,9213,120848
Central African Republic,4747,62,1825
Chad,1051,79,932
Chile,428669,11781,401356
China,90127,4733,85005
Colombia,694664,22275,569479
Comoros,456,7,415
Congo (Brazzaville),4891,83,3887
Congo (Kinshasa),10343,262,9533
Costa Rica,52549,567,20322
Cote d'Ivoire,18869,119,17884
Croatia,12917,208,10142
Cuba,4551,106,3779
Cyprus,1517,22,1237
Czechia,32413,448,20787
Denmark,19353,629,16493
Diamond Princess,712,13,651
Djibouti,5394,61,5327
Dominica,24,0,18
Dominican Republic,101716,1926,75034
Ecuador,113206,10749,91242
Egypt,100557,5590,81597
El Salvador,26688,774,17106
Equatorial Guinea,4990,83,4479
Eritrea,361,0,304
Estonia,2600,64,2223
Eswatini,4994,98,4103
Ethiopia,62578,974,23640
Fiji,32,2,24
Finland,8469,337,7500
France,392243,30819,89468
Gabon,8621,53,7618
Gambia,3330,100,1460
Georgia,1830,19,1334
Germany,258149,9345,230283
Ghana,45313,283,44188
Greece,12452,297,1347
Grenada,24,0,24
Guatemala,80306,2918,68927
Guinea,9946,63,9100
Guinea-Bissau,2275,39,1127
Guyana,1750,49,1088
Haiti,8429,215,5991
Holy See,12,0,12
Honduras,65802,2049,15577
Hungary,10191,630,3990
Iceland,2157,10,2072
India,4562414,76271,3542663
Indonesia,207203,8456,147510
Iran,395488,22798,340842
Iraq,278418,7814,213817
Ireland,30360,1781,23364
Israel,145526,1077,109942
Italy,283180,35587,211885
Jamaica,3511,40,1019
Japan,73916,1416,64489
Jordan,2739,20,1981
Kazakhstan,106661,1634,100409
Kenya,35603,612,22047
South Korea,21919,350,17616
Kosovo,14446,581,11033
Kuwait,92822,556,83040
Kyrgyzstan,44684,1061,40487
Laos,22,0,21
Latvia,1448,35,1248
Lebanon,22437,219,7312
Lesotho,1164,31,528
Liberia,1315,82,1194
Libya,20939,339,2420
Liechtenstein,109,1,105
Lithuania,3199,86,2030
Luxembourg,7088,124,6367
MS Zaandam,9,2,0
Madagascar,15624,208,14295
Malawi,5655,176,3683
Malaysia,9628,128,9167
Maldives,8900,31,6559
Mali,2909,128,2269
Malta,2204,14,1803
Mauritania,7222,161,6758
Mauritius,361,10,335
Mexico,652364,69649,541804
Moldova,41704,1106,28962
Monaco,165,1,107
Mongolia,311,0,298
Montenegro,6222,114,4393
Morocco,79767,1491,61850
Mozambique,4832,31,2857
Namibia,9256,96,4767
Nepal,50465,317,35700
Netherlands,82016,6285,1802
New Zealand,1793,24,1655
Nicaragua,4818,144,2913
Niger,1178,69,1099
Nigeria,55829,1075,43810
North Macedonia,15414,637,12896
Norway,11867,265,9348
Oman,88337,762,83325
Pakistan,300371,6370,288206
Panama,99715,2127,72203
Papua New Guinea,507,5,232
Paraguay,25631,485,12729
Peru,702776,30236,536959
Philippines,248947,4066,186058
Poland,72453,2159,58069
Portugal,62126,1852,43441
Qatar,121052,205,117978
Romania,99684,4065,41010
Russia,1042836,18207,859961
Rwanda,4479,22,2352
Saint Kitts and Nevis,17,0,17
Saint Lucia,27,0,26
Saint Vincent and the Grenadines,62,0,58
San Marino,722,42,662
Sao Tome and Principe,901,15,866
Saudi Arabia,323720,4189,299998
Senegal,14150,293,10207
Serbia,32136,729,0
Seychelles,137,0,127
Sierra Leone,2069,72,1622
Singapore,57229,27,56558
Slovakia,5066,37,3001
Slovenia,3389,135,2620
Somalia,3371,97,2738
South Africa,644438,15265,573003
South Sudan,2555,49,1290
Spain,554143,29699,150376
Sri Lanka,3155,12,2955
Sudan,13437,833,6730
Suriname,4477,93,3706
Sweden,86194,5843,0
Switzerland,45711,2020,38100
Syria,3416,147,797
Taiwan*,496,7,475
Tajikistan,8939,72,7714
Tanzania,509,21,183
Thailand,3461,58,3312
Timor-Leste,27,0,25
Togo,1537,37,1145
Trinidad and Tobago,2698,43,755
Tunisia,5882,99,1862
Turkey,286455,6895,255407
US,6396551,191766,2403511
Uganda,4291,48,1998
Ukraine,149146,3079,68289
United Arab Emirates,76911,398,67945
United Kingdom,360544,41697,1845
Uruguay,1759,45,1484
Uzbekistan,45473,370,42509
Venezuela,57823,460,46125
Vietnam,1059,35,893
West Bank and Gaza,28664,198,18821
Western Sahara,10,1,8
Yemen,2003,580,1211
Zambia,13214,300,11899
Zimbabwe,7453,222,5635
